tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0004651	movie	A Study in Scarlet	A Study in Scarlet	0	1914	\N	\N	Drama,Mystery
tt0000908	short	In Old Kentucky	In Old Kentucky	0	1909	\N	11	Drama,Short,War
tt0002678	short	Ben Bolt	Ben Bolt	0	1913	\N	40	Adventure,Short
tt0001460	short	The Woman from Mellon's	The Woman from Mellon's	0	1910	\N	11	Drama,Short
tt0000945	short	Lucky Jim	Lucky Jim	0	1909	\N	5	Drama,Short
tt0004736	short	Twenty Minutes of Love	Twenty Minutes of Love	0	1914	\N	20	Comedy,Short
tt0003742	movie	Calatayud en fiestas	Calatayud en fiestas	0	1914	\N	\N	Documentary
tt0001143	short	The Call to Arms	The Call to Arms	0	1910	\N	17	Drama,Short
tt0003358	short	Scenes of Other Days	Scenes of Other Days	0	1913	\N	\N	Drama,Short
tt0004528	movie	Rescue of the Stefansson Arctic Expedition	Rescue of the Stefansson Arctic Expedition	0	1914	\N	\N	Documentary
tt0000584	short	El ciego de la aldea	El ciego de la aldea	0	1907	\N	8	Crime,Drama,Short
tt0003373	short	The Sheriff's Story	The Sheriff's Story	0	1913	\N	\N	Short,Western
tt0001478	short	The Angel of Paradise Ranch	The Angel of Paradise Ranch	0	1911	\N	\N	Short,Western
tt0003886	movie	Enoch Arden	Enoch Arden	0	1914	\N	\N	Drama
tt0004373	movie	The Mysterious Mr. Wu Chung Foo	The Mysterious Mr. Wu Chung Foo	0	1914	\N	\N	Drama
tt0005038	short	The Burned Hand	The Burned Hand	0	1915	\N	\N	Drama,Short
tt0000150	short	Danse fleur de lotus	Danse fleur de lotus	0	1897	\N	1	Documentary,Short
tt0002255	short	Hot Stuff	Hot Stuff	0	1912	\N	8	Comedy,Short
tt0003963	short	Finger Prints	Finger Prints	0	1914	\N	22	Short,Thriller
tt0001735	short	Little Lady Lafayette	Little Lady Lafayette	0	1911	\N	14	Short
tt0004677	movie	The Temptations of Satan	The Temptations of Satan	0	1914	\N	\N	\N
tt0002629	short	The Angel of Death	The Angel of Death	0	1913	\N	\N	Drama,Short
tt0003119	short	Mannekängen	Mannekängen	0	1913	\N	\N	Comedy,Short
tt0004769	movie	The Voice at the Telephone	The Voice at the Telephone	0	1914	\N	\N	Drama
tt0000516	short	The Electric Hotel	El hotel eléctrico	0	1908	\N	8	Animation,Fantasy,Sci-Fi
tt0000419	short	L'équilibriste	L'équilibriste	0	1902	\N	\N	Short
tt0004008	short	Gertie the Dinosaur	Gertie the Dinosaur	0	1914	\N	12	Animation,Comedy,Family
tt0000839	short	The Curse of Money	The Curse of Money	0	1909	\N	\N	Drama,Short
tt0002497	short	So Near, Yet So Far	So Near, Yet So Far	0	1912	\N	17	Crime,Romance,Short
tt0003411	short	The Stolen Moccasins	The Stolen Moccasins	0	1913	\N	10	Short,Western
tt0002835	short	Exoneration	Exoneration	0	1913	\N	22	Drama,Short
tt0004081	short	Her Old Teacher	Her Old Teacher	0	1914	\N	10	Drama,Short
tt0000999	short	Paul Wang's Destiny	Paul Wangs skæbne	0	1909	\N	\N	Drama,Short
tt0000004	short	Un bon bock	Un bon bock	0	1892	\N	12	Animation,Short
tt0001019	short	The Road Agents	The Road Agents	0	1909	\N	\N	Crime,History,Short
tt0003226	short	Oil and Water	Oil and Water	0	1913	\N	25	Drama,Short
tt0003743	movie	The Call of the North	The Call of the North	0	1914	\N	\N	Adventure,Drama
tt0004015	short	The Ghost	The Ghost	0	1913	\N	\N	Drama,Short
tt0004483	movie	The Port of Missing Men	The Port of Missing Men	0	1914	\N	139	Drama
tt0004610	short	Snakeville's New Doctor	Snakeville's New Doctor	0	1914	\N	\N	Comedy,Short,Western
tt0001589	short	Dutch Gold Mine	Dutch Gold Mine	0	1911	\N	9	Comedy,Short
tt0002866	short	First Love	First Love	0	1913	\N	\N	Comedy,Romance,Short
tt0000266	short	Above the Speedway	Above the Speedway	0	1900	\N	\N	Documentary,Short
tt0003971	movie	The Flooding and Opening of the Panama Canal	The Flooding and Opening of the Panama Canal	0	1914	\N	\N	Documentary
tt0001985	short	The Winds of Fate	The Winds of Fate	0	1911	\N	\N	Drama,Short
tt0004102	short	His Prehistoric Past	His Prehistoric Past	0	1914	\N	22	Comedy,Short
tt0003521	short	The Web	The Web	0	1913	\N	\N	Drama,Short
tt0005026	short	Broncho Billy's Sentence	Broncho Billy's Sentence	0	1915	\N	17	Short,Western
tt0003779	movie	Cocaine Traffic; or, the Drug Terror	Cocaine Traffic; Or, The Drug Terror	0	1914	\N	\N	Drama
tt0000309	short	How It Feels to Be Run Over	How It Feels to Be Run Over	0	1900	\N	1	Comedy,Short
tt0001776	short	Max Takes Tonics	Max victime du quinquina	0	1911	\N	17	Comedy,Short
tt0004159	short	The Interference of Broncho Billy	The Interference of Broncho Billy	0	1914	\N	\N	Action,Adventure,Short
tt0000730	short	Mr. Jones at the Ball	Mr. Jones at the Ball	0	1908	\N	8	Comedy,Short
tt0001607	short	Fate's Turning	Fate's Turning	0	1911	\N	17	Romance,Short
tt0002260	short	How a Mosquito Operates	How a Mosquito Operates	0	1912	\N	6	Animation,Comedy,Short
tt0004579	short	Shadows	Shadows	0	1914	\N	\N	Crime,Drama,Romance
tt0003873	short	Easy Money	Easy Money	0	1914	\N	\N	Comedy,Short
tt0002509	short	The Street Singer	The Street Singer	0	1912	\N	\N	Drama,Short
tt0002803	short	A Dip Into Society	A Dip Into Society	0	1913	\N	7	Comedy,Short
tt0001322	short	The Millionaire and the Ranch Girl	The Millionaire and the Ranch Girl	0	1910	\N	\N	Short,Western
tt0002265	short	In Swift Waters	In Swift Waters	0	1912	\N	\N	Drama,Romance,Short
tt0004270	movie	La lucha contra el destino	La lucha contra el destino	0	1914	\N	\N	\N
tt0000589	short	Descoberta da América por Cristovão Colombo	Descoberta da América por Cristovão Colombo	0	1907	\N	\N	Documentary,Short
tt0000271	short	Arrivée de Pierette et Pierrot	Arrivée de Pierette et Pierrot	0	1900	\N	\N	Short
tt0004461	short	The Peach Brand	The Peach Brand	0	1914	\N	\N	Drama,Short,Western
tt0001122	movie	The Red Inn	L'auberge rouge	0	1910	\N	\N	\N
tt0002909	short	The Grand Military Parade	The Grand Military Parade	0	1913	\N	\N	Short
tt0004267	movie	Love Never Dies	Love Never Dies	0	1916	\N	50	Drama
tt0000934	short	Leather Stocking	Leather Stocking	0	1909	\N	11	Adventure,Drama,Short
tt0002663	short	Barney Oldfield's Race for a Life	Barney Oldfield's Race for a Life	0	1913	\N	13	Comedy,Short
tt0005022	short	Broncho Billy's Love Affair	Broncho Billy's Love Affair	0	1912	\N	\N	Short,Western
tt0003669	movie	A becsapott újságíró	A becsapott újságíró	0	1915	\N	\N	\N
tt0002423	movie	Passion	Madame DuBarry	0	1919	\N	113	Biography,Drama,Romance
tt0004507	short	The Quest of the Sacred Jewel	The Quest of the Sacred Jewel	0	1914	\N	40	Drama,Short
tt0003630	movie	Golddigger	Az aranyásó	0	1914	\N	\N	Drama,Western
tt0001592	movie	In the Prime of Life	Ekspeditricen	0	1911	\N	52	Drama
tt0002070	short	The Brave Hunter	The Brave Hunter	0	1912	\N	7	Comedy,Short
tt0002420	short	Partners for Life	Partners for Life	0	1912	\N	\N	Comedy,Drama,Short
tt0000928	short	King Lear	King Lear	0	1909	\N	16	Drama,Short
tt0003595	movie	Across the Pacific	Across the Pacific	0	1914	\N	50	Adventure,Drama,Romance
tt0001526	short	The Call of the Song	The Call of the Song	0	1911	\N	\N	Drama,Romance,Short
tt0004361	short	The Moving Picture Cowboy	The Moving Picture Cowboy	0	1914	\N	\N	Short,Western
tt0003500	short	Vampyren	Vampyren	0	1913	\N	43	Short
tt0004635	movie	The Squaw Man	The Squaw Man	0	1914	\N	74	Action,Drama,Romance
tt0003468	short	Toplitsky and Company	Toplitsky and Company	0	1913	\N	10	Comedy,Short
tt0003045	short	Lady Marions sommarflirt	Lady Marions sommarflirt	0	1913	\N	18	Drama,Short
tt0004316	short	Max et le mari jaloux	Max et le mari jaloux	0	1912	\N	14	Comedy,Short
tt0000061	short	Dancing Girls	Dancing Girls	0	1896	\N	\N	Short
tt0004522	short	The Redemption of David Corson	The Redemption of David Corson	0	1914	\N	40	Drama,Short
tt0000602	short	Lion Hunting	Løvejagten	0	1907	\N	10	Adventure,Drama,Short
tt0003636	short	Ashes of the Past	Ashes of the Past	0	1914	\N	\N	Drama,Short
tt0004782	short	The Wasp	The Wasp	0	1914	\N	\N	Drama,Short
tt0004589	short	Shotgun Jones	Shotgun Jones	0	1914	\N	20	Short,Western
tt0001959	short	An Unknown Language	An Unknown Language	0	1911	\N	\N	Comedy,Short
tt0003829	short	The Den of Thieves	The Den of Thieves	0	1914	\N	\N	Crime,Drama,Short
tt0004410	short	Nubes negras	Nubes negras	0	1914	\N	6	Short
tt0001420	short	A Tragedy of the Olden Times	A Tragedy of the Olden Times	0	1911	\N	\N	Crime,Drama,Short
tt0002151	short	The Last Performance	Dödsritten under cirkuskupolen	0	1912	\N	17	Drama,Short
tt0005045	movie	Los cabellos blancos	Los cabellos blancos	0	1915	\N	\N	\N
tt0001340	short	The Oath and the Man	The Oath and the Man	0	1910	\N	17	Drama,Short
tt0004233	short	The Lion, the Lamb, the Man	The Lion, the Lamb, the Man	0	1914	\N	\N	Drama,Short
tt0001043	movie	Smith's Knockabout Theatre	Smith's Knockabout Theatre	0	1909	\N	\N	\N
tt0004038	movie	The Great Leap: Until Death Do Us Part	The Great Leap: Until Death Do Us Part	0	1914	\N	\N	Drama,Romance
tt0003878	movie	O Embarque das Tropas Expedicionárias para Angola e Moçambique	O Embarque das Tropas Expedicionárias para Angola e Moçambique	0	1914	\N	\N	Documentary
tt0002873	short	For Lizzie's Sake	For Lizzie's Sake	0	1913	\N	8	Comedy,Short
tt0001617	short	The Fisherman's Daughter	The Fisherman's Daughter	0	1911	\N	17	Drama,Short
tt0002522	short	The Third Thanksgiving	The Third Thanksgiving	0	1912	\N	\N	Drama,Short
tt0003117	short	Man's Duty	Man's Duty	0	1913	\N	10	Drama,Short,Western
tt0003695	short	A Brand New Hero	A Brand New Hero	0	1914	\N	\N	Comedy,Short
tt0002708	short	Broncho Billy's First Arrest	Broncho Billy's First Arrest	0	1913	\N	11	Short,Western
tt0005050	short	The Campbells Are Coming	The Campbells Are Coming	0	1915	\N	40	Drama,History,Short
tt0000459	short	Panorama of Riker's Island, N.Y.	Panorama of Riker's Island, N.Y.	0	1903	\N	2	Documentary,Short
tt0001583	short	La digue	La digue	0	1911	\N	\N	Drama,Short
tt0001636	short	Galileo	Galileo	0	1911	\N	17	Short
tt0001168	short	A Cowboy's Mother-in-Law	A Cowboy's Mother-in-Law	0	1910	\N	\N	Comedy,Short,Western
tt0000295	short	Danse du voile	Danse du voile	0	1900	\N	\N	Short
tt0002598	short	An Accidental Servant	An Accidental Servant	0	1913	\N	\N	Comedy,Short
tt0000364	short	Panorama of Esplanade by Night	Panorama of Esplanade by Night	0	1901	\N	1	Documentary,Short
tt0000265	short	Above the Limit	Above the Limit	0	1900	\N	\N	Comedy,Short
tt0002494	short	The Sketch with the Thumb Print	The Sketch with the Thumb Print	0	1912	\N	\N	Drama,Short
tt0002343	short	Man's Lust for Gold	Man's Lust for Gold	0	1912	\N	17	Drama,Short
tt0001849	short	The Ranchman's Son	The Ranchman's Son	0	1911	\N	\N	Short,Western
tt0001826	short	Par habitude	Par habitude	0	1911	\N	\N	Comedy,Short
tt0001051	movie	El sueño milagroso	El sueño milagroso	0	1909	\N	\N	\N
tt0000319	short	Maple Leaf Viewing	Momijigari	0	1899	\N	6	Horror,Short
tt0000017	short	Italienischer Bauerntanz	Italienischer Bauerntanz	0	1895	\N	1	Documentary,Short
tt0002301	movie	Leiria	Leiria	0	1912	\N	\N	Documentary
tt0002212	short	The God Within	The God Within	0	1912	\N	11	Drama,Short
tt0000606	short	Mr. Gay and Mrs.	Mr. Gay and Mrs.	0	1907	\N	\N	Comedy,Short
tt0002324	short	The International Spies	Lieutenant Daring, R.N. And the Plans of the Mine Fields	0	1912	\N	13	Drama,Short,Thriller
tt0000145	short	En classe	En classe	0	1897	\N	\N	Comedy,Short
tt0000700	short	Her First Adventure	Her First Adventure	0	1908	\N	6	Drama,Short
tt0002231	short	Heaven Avenges	Heaven Avenges	0	1912	\N	17	Romance,Short
tt0000986	short	Nursing a Viper	Nursing a Viper	0	1909	\N	10	Drama,Short
tt0001886	short	The Siege of Calais	Le siège de Calais	0	1911	\N	\N	Drama,Short,War
tt0000628	short	The Adventures of Dollie	Adventures of Dollie	0	1908	\N	12	Action,Short
tt0001123	short	Away Out West	Away Out West	0	1910	\N	\N	Short,Western
tt0000554	short	Humorous Phases of Funny Faces	Humorous Phases of Funny Faces	0	1906	\N	3	Animation,Comedy,Family
tt0000632	short	Love That Kills	Amor que mata	0	1908	\N	14	Drama,Short
tt0001616	short	The Fisher-Maid	The Fisher-Maid	0	1911	\N	10	Drama,Short
tt0003141	short	The Midget's Revenge	The Midget's Revenge	0	1913	\N	\N	Comedy,Short
tt0001422	movie	Trail to the West	Trail to the West	0	1910	\N	\N	\N
tt0004060	short	Hearts and Diamonds	Hearts and Diamonds	0	1914	\N	33	Comedy,Short
tt0003708	short	Broncho Billy and the Settler's Daughter	Broncho Billy and the Settler's Daughter	0	1914	\N	11	Short,Western
tt0003616	short	Ambrose's Little Hatchet	Ambrose's Little Hatchet	0	1915	\N	\N	Comedy,Short
tt0002933	short	The Heart of a Jewess	The Heart of a Jewess	0	1913	\N	21	Drama,Short
tt0001030	short	Saul and David	Saul and David	0	1909	\N	10	Drama,Short
tt0001401	short	The Sorrows of the Unfaithful	The Sorrows of the Unfaithful	0	1910	\N	17	Drama,Short
tt0000905	short	I Did It	I Did It	0	1909	\N	4	Short
tt0002429	short	Petticoat Camp	Petticoat Camp	0	1912	\N	15	Comedy,Short
tt0000289	short	Coucher d'une Parisienne	Coucher d'une Parisienne	0	1900	\N	\N	Short
tt0002984	short	The House in the Tree	The House in the Tree	0	1913	\N	11	Short
tt0001031	short	Schneider's Anti-Noise Crusade	Schneider's Anti-Noise Crusade	0	1909	\N	\N	Comedy,Short
tt0002848	short	Fate	Fate	0	1913	\N	17	Drama,Short
tt0003422	short	The Sultan's Harem	The Sultan's Harem	0	1913	\N	\N	Animation,Short
tt0003805	short	Cruel, Cruel Love	Cruel, Cruel Love	0	1914	\N	16	Comedy,Romance,Short
tt0002568	short	War's Havoc	War's Havoc	0	1912	\N	\N	Drama,Short,War
tt0003917	short	The Fable of the Husband Who Showed Up and Did His Duty	The Fable of the Husband Who Showed Up and Did His Duty	0	1914	\N	\N	Comedy,Short
tt0002034	short	At Coney Island	At Coney Island	0	1912	\N	6	Comedy,Short
tt0003507	movie	The Vicar of Wakefield	The Vicar of Wakefield	0	1913	\N	\N	Drama
tt0002105	short	A Clue to Her Parentage	A Clue to Her Parentage	0	1912	\N	11	Short,Thriller
tt0002900	short	The Girl and the Outlaw	The Girl and the Outlaw	0	1913	\N	\N	Short,Western
tt0002284	short	The Guerrillas of Algiers; or, The Mosque in the Desert	Jean la Poudre	0	1913	\N	\N	Short,Thriller,War
tt0002696	short	Bread Cast Upon the Waters	Bread Cast Upon the Waters	0	1913	\N	22	Drama,Short
tt0004799	short	When Thieves Fall Out	When Thieves Fall Out	0	1914	\N	\N	Drama,Romance,Short
tt0004475	short	The Plumber	The Plumber	0	1914	\N	12	Comedy,Short
tt0003405	short	Starving for Love	Starving for Love	0	1913	\N	\N	Comedy,Short
tt0003340	short	The Romance of Rowena	The Romance of Rowena	0	1913	\N	28	Comedy,Short
tt0001222	short	The Forest Ranger	The Forest Ranger	0	1910	\N	\N	Short,Western
tt0004988	movie	Body and Soul	Body and Soul	0	1915	\N	50	Drama
tt0003902	short	The Fable of How Uncle Brewster Was Too Shifty for the Tempter	The Fable of How Uncle Brewster Was Too Shifty for the Tempter	0	1914	\N	\N	Comedy,Short
tt0003402	short	A Splendid Scapegrace	A Splendid Scapegrace	0	1913	\N	\N	Drama,Short
tt0004469	movie	Pieces of Silver: A Story of Hearts and Souls	Pieces of Silver: A Story of Hearts and Souls	0	1914	\N	\N	Drama
tt0003338	short	Rockefeller	Rockefeller	0	1913	\N	\N	Animation,Short
tt0001070	short	Tragedia torera	Tragedia torera	0	1909	\N	14	Short
tt0002422	short	The Passing Shadow	The Passing Shadow	0	1912	\N	\N	Drama,Short
tt0003773	short	A Circumstantial Nurse	A Circumstantial Nurse	0	1914	\N	11	Drama,Short
tt0000163	short	Le planton du colonel	Le planton du colonel	0	1897	\N	\N	Comedy,Short
tt0000892	short	Her First Biscuits	Her First Biscuits	0	1909	\N	6	Comedy,Short
tt0000297	short	Danses	Danses	0	1900	\N	\N	Short
tt0004634	short	The Squatters	The Squatters	0	1914	\N	\N	Drama,Short
tt0001004	short	Portrait of Mireille	Le portrait de Mireille	0	1909	\N	8	Short
tt0000598	short	Hamlet, Prince of Denmark	Hamlet	0	1907	\N	10	Drama,Short
tt0001929	short	Through His Wife's Picture	Through His Wife's Picture	0	1911	\N	9	Comedy,Short
tt0003394	movie	Den sorte familie	Den sorte familie	0	1914	\N	\N	\N
tt0002565	short	Los viveskis sin contrato	Los viveskis sin contrato	0	1912	\N	20	Short
tt0000053	short	A Chegada do Comboio Inaugural à Estação Central do Porto	A Chegada do Comboio Inaugural à Estação Central do Porto	0	1897	\N	\N	Documentary,Short
tt0002140	movie	Do Men Love Women?	Do Men Love Women?	0	1912	\N	\N	\N
tt0003801	short	The Coward and the Man	The Coward and the Man	0	1914	\N	12	Drama,Short
tt0001522	short	Buffalo Bill on the Brain	Buffalo Bill on the Brain	0	1911	\N	6	Comedy,Short
tt0003214	short	Christmas Eve	Noch pered Rozhdestvom	0	1913	\N	41	Comedy,Fantasy,Short
tt0000780	short	Hercules the Athlete; or, Love Behind the Scenes	Verdens Herkules	0	1908	\N	\N	Short
tt0002241	short	Heredity	Heredity	0	1912	\N	17	Drama,Short
tt0001249	short	His Last Dollar	His Last Dollar	0	1910	\N	\N	Comedy,Short
tt0002511	short	Los sueños de Palomeque	Los sueños de Palomeque	0	1912	\N	17	Short
tt0002726	short	By Man's Law	By Man's Law	0	1913	\N	20	Drama,Short
tt0002100	short	Chumps	Chumps	0	1912	\N	\N	Comedy,Short
tt0001393	short	Serious Sixteen	Serious Sixteen	0	1910	\N	9	Comedy,Short
tt0003313	short	The Ranchero's Revenge	The Ranchero's Revenge	0	1913	\N	17	Short,Western
tt0002601	short	The Adopted Brother	The Adopted Brother	0	1913	\N	10	Drama,Short
tt0004186	short	The Keeper of the Light	The Keeper of the Light	0	1914	\N	\N	Drama,Romance,Short
tt0002305	movie	Life of Villa	Life of Villa	0	1912	\N	\N	Documentary,War
tt0004913	short	The Artist's Model	The Artist's Model	0	1916	\N	\N	Comedy,Short
tt0000578	short	An Awful Skate; or, the Hobo on Rollers	An Awful Skate; or, The Hobo on Rollers	0	1907	\N	\N	Comedy,Family,Short
tt0003316	movie	The Rattlesnake	The Rattlesnake	0	1913	\N	56	Drama,Western
tt0003128	short	Mary's Romance	Mary's Romance	0	1913	\N	\N	Comedy,Romance,Short
tt0001246	short	La hija del guardacostas	La hija del guardacostas	0	1910	\N	\N	Drama,Short
tt0001396	short	Simple Charity	Simple Charity	0	1910	\N	17	Drama,Short
tt0003321	short	Red Sweeney's Mistake	Red Sweeney's Mistake	0	1913	\N	27	Comedy,Drama,Short
tt0003591	short	Absinthe	Absinthe	0	1914	\N	40	Drama,Short
tt0002086	short	Captain Barnacle's Messmates	Captain Barnacle's Messmates	0	1912	\N	\N	Comedy,Short
tt0004172	short	Jim Cameron's Wife	Jim Cameron's Wife	0	1914	\N	20	Drama,Short
tt0001207	short	Faithful	Faithful	0	1910	\N	17	Drama,Short
tt0003901	short	The Fable of Higher Education That Was Too High for the Old Man	The Fable of Higher Education That Was Too High for the Old Man	0	1914	\N	\N	Comedy,Short
tt0001910	short	Sweet Memories	Sweet Memories	0	1911	\N	10	Drama,Romance,Short
tt0001500	short	Bedraget i døden	Bedraget i døden	0	1911	\N	33	Drama,Short
tt0001399	short	The Smoker	The Smoker	0	1910	\N	\N	Comedy,Short
tt0003512	short	The Voyage of the Bourrichon Family	Le voyage de la famille Bourrichon	0	1913	\N	15	Comedy,Short
tt0002850	short	Father's Hatband	Father's Hatband	0	1913	\N	11	Comedy,Short
tt0001421	short	Le tragique amour de Mona Lisa	Le tragique amour de Mona Lisa	0	1912	\N	24	Drama,Short
